,Node,Degree,In degree nodes,Out degree nodes,Betweenness centrality,Local reaching centrality,Label,Community
36,638141581865990031067898579742812461592879932193,11,3,8,0.04365357643758766,0.7345079367581969,petal width (cm) > 1.55,0
37,74879874659262387694632386454131616979046726372,7,3,4,0.07696353436185134,0.7933814253048479,petal length (cm) > 4.45,0
38,890966723073636682066365162981360678966535034956,2,1,1,0.0016362786348761104,0.9791804998100523,petal length (cm) <= 5.35,1
39,121276431066360500636906346013138278761812305492,2,1,1,0.0,0.015088449531737774,petal length (cm) > 2.35,1
40,49070913370545071086377810117292381186951655643,2,1,1,0.0003506311360448808,0.0018289029735439723,sepal width (cm) > 2.9,1
41,1430084550242289152573952319964513372816921715049,2,1,1,0.000584385226741468,0.08077654799819212,petal length (cm) <= 5.15,0
42,1450363756495067461684132626737980367983430204381,2,1,1,0.0002337540906965872,0.0018289029735439723,petal width (cm) > 1.85,0
43,1454275561754396346188867935618619228010796509085,2,1,1,0.0,0.005029483177245924,petal length (cm) <= 5.25,1
44,1457483848395039125849720518012618590763030198927,4,0,4,0.0,1.5321634660864631,sepal length (cm) > 5.45,0
45,222513548881180151133075191376538781915923590515,6,2,4,0.0009350163627863488,1.0527470332881363,sepal length (cm) > 5.75,0
46,594089175575654060459779242591085365592722253393,5,2,3,0.016012155212716223,0.6912286171261197,sepal length (cm) <= 5.75,1
47,876749577633510539683389891885789680561916344957,12,3,9,0.008006077606358112,1.2646798744093228,petal length (cm) <= 4.75,1
48,980582199507733965754791278194779303739416744173,11,3,8,0.005201028517999065,0.9788256055425669,petal length (cm) > 4.75,0
49,895740035945429333461149620309486611595653865354,5,4,1,0.0,0.09556018036767255,petal length (cm) <= 2.45,2
50,167165505944283176977101687710141588698041176934,2,1,1,0.0002337540906965872,0.014173998044965786,petal length (cm) <= 2.35,2
51,196092612955734624761888459349115543283158035640,4,2,2,0.0008181393174380552,0.017374578248667737,sepal width (cm) <= 3.6,1
52,20027246626028226493891726033110366473108170555,5,1,4,0.02945301542776999,0.9136257588520855,petal width (cm) > 1.65,0
53,852781441430701604216739422703052302532744489622,7,4,3,0.01916783543712015,0.02057515845236969,sepal width (cm) <= 3.1,0
54,216276452006918145003540282563864157215105137770,2,1,1,0.0008181393174380552,0.010973417841263836,sepal width (cm) > 2.6,0
55,251229743770447802941411781111832740701315748573,5,3,2,0.025362318840579712,0.8380512423176315,sepal width (cm) > 2.65,1
56,254628267055986343671728839099613622786740356345,2,1,1,0.0,0.012802320814807809,sepal length (cm) > 6.1,0
57,281829290548600672591383790563916429063778438140,3,1,2,0.012739597942964002,0.7251883334609661,sepal width (cm) <= 3.15,0
58,289835574050222756725133641780411590575462184754,7,3,4,0.014960261804581581,0.039321413931195405,sepal length (cm) > 6.05,0
59,409757783204807405928992892317308678161347224063,2,1,1,0.0003506311360448808,0.002743354460315959,sepal width (cm) > 2.85,1
60,49550668009499826161925338125608033747973019870,2,1,1,0.0001168770453482936,0.0018289029735439723,sepal width (cm) <= 2.85,0
61,304172881522427367204610090972256172568692989788,5,2,3,0.006428237494156148,0.8838436705892482,sepal width (cm) <= 3.05,1
62,663962677293897028562006223754227710671559270038,3,2,1,0.00455820476858345,0.005486708920631918,petal width (cm) <= 0.6,2
63,673818956305315430917089085463558916993833735280,9,3,6,0.03290088826554465,0.8498906674895229,petal width (cm) > 0.6,1
64,340188481732477051824404295008101885966561645360,2,1,1,0.0,0.0013716772301579794,sepal width (cm) <= 2.25,0
65,342117117123349403071697306733113456574223282563,2,1,1,0.0007012622720897616,0.0018289029735439723,sepal width (cm) <= 2.6,1
66,350181969346862691450554476047974823735377706407,1,0,1,0.0,0.014173998044965786,petal length (cm) <= 2.5,2
67,35137652855731292165378819195755893612217445313,3,1,2,0.005902290790088827,0.9442201485645814,sepal length (cm) <= 5.15,2
68,366392524263940208454263496799192308933184642494,2,1,1,0.0,0.011430643584649828,petal length (cm) > 5.2,0
69,375631124196258504261993405273975813093470554725,6,0,6,0.0,0.9235274177781981,sepal length (cm) <= 5.45,2
70,816620217128552237171572630883052674743289307693,2,1,1,0.0,0.027433544603159585,petal length (cm) <= 2.6,2
71,896410401062327898006712427480050976149945215246,5,1,4,0.005493221131369799,1.220076414509297,petal length (cm) > 2.6,1
72,388534224713253696026803307705489599260631342248,2,1,1,0.0008181393174380552,0.0013716772301579794,petal length (cm) <= 4.8,1
73,392718152508858292221329443967324093574829000530,2,1,1,0.0,0.004572257433859931,sepal length (cm) > 4.95,1
74,42978508597025889813631994064466636649032094722,2,1,1,0.001402524544179523,0.0013716772301579794,petal width (cm) <= 2.0,1
75,467798018233037071972616691838977912782702088730,3,1,2,0.0,0.6567263988179701,sepal length (cm) <= 6.2,1
76,990658991402966912567823093437861817801729494069,5,3,2,0.006077606358111267,0.005486708920631918,sepal width (cm) <= 2.65,0
77,995389300377971000653894555933533555704515786666,3,1,2,0.008824216923796167,0.8975250623273516,sepal length (cm) > 5.15,1
78,49227071693524952461610791179313204299643027637,4,2,2,0.009583917718560075,0.034749156497335475,sepal width (cm) > 3.05,2
79,702487916433497150990218018059207839730228278362,2,1,1,0.0001168770453482936,0.00594393466401791,petal length (cm) > 5.1,0
80,499746049360758514165572629408646473410023183707,2,1,1,0.008532024310425433,0.8094900556529069,petal width (cm) <= 1.85,1
81,540035213995254397402295448117929033562594743215,2,0,2,0.0,0.8920595817448055,sepal length (cm) > 5.55,0
82,926607250385074609821957984456135721006441032934,3,1,2,0.001168770453482936,0.7846675966342981,sepal length (cm) <= 6.15,1
83,541559683627781647818912141968664973771312318033,6,3,3,0.009583917718560075,0.0813480801774246,sepal length (cm) <= 6.05,1
84,596558638289476304602117053628022916713354988422,2,1,1,0.0,0.01188786932803582,petal length (cm) > 5.15,0
85,636585327107067201701779448241859547742080236275,2,1,1,0.0,0.01188786932803582,sepal width (cm) <= 3.7,1
86,890969315352235674076684635636133551807048881777,2,1,1,0.0,0.022023039973092,sepal length (cm) <= 6.1,0
87,858784900016286115875827800682706486118675940916,8,3,5,0.03927068723702665,0.7624478770160351,petal width (cm) > 1.35,1
88,966918202391704686167119992696741767915073996406,5,2,3,0.011103319308087892,0.6640964423482634,sepal width (cm) > 2.25,1
89,945659950162506297550745903840767493813173252765,2,1,1,0.0005259467040673212,0.0018289029735439723,sepal length (cm) > 5.25,1
90,776733736952705140699943463440910389557723040572,2,1,1,0.006895745675549322,0.002743354460315959,petal length (cm) > 5.0,1
91,868889587586923656450038559937453870985808665160,4,2,2,0.0016362786348761104,0.016460126761895753,petal length (cm) <= 5.0,1
92,908424450082888236605500565934284711945271119747,1,0,1,0.0,0.01600290101850976,petal width (cm) > 1.6,0
93,982742991187502566594350651114266226034826696665,2,0,2,0.0,1.2728184926415935,petal length (cm) > 2.5,0
